Номенклатура для категории клиентов: Бары
"Источник: прайс-лист на 29 апреля 2026 г.; подгрупп: 3; позиций: 244"

Номенклатура
Картофель фри 10*10 мм, 2,5кг/4шт, “Agrina Classic”, Бельгия, шт
Картофель фри 6*6 мм, 2,5кг/4шт, Triumph Lamb Weston, Нидерланды, шт
Картофель фри 6*6мм, 2,5кг/5шт, Triumph, РФ, шт
Картофель фри 7*7 мм, 2,5кг/4шт, “Agrina Classic”, Бельгия, шт
Картофель фри 7*7 мм, 2,5кг/4шт, “Barts tradition”, Бельгия, шт
Картофель фри 9*9мм В ПАНИРОВКЕ, 2,5кг/4шт, Triumph Lamb Weston, Нидерланды, шт
Картофель фри 9*9мм, 2,5кг/4шт, Triumph Lamb Weston, Нидерланды, шт
Картофель фри 9*9мм, 2,5кг/5шт, Triumph, РФ, шт
Картофель фри сладкий Батат 9*9 мм 2,5 кг, Fry Me, РФ, шт
Картофельные дольки с ароматной паприкой (спайси), 2,5кг/4шт, Yakimal, РФ, шт
Картофельные дольки с кожурой по-деревенски 2,5кг/4шт, Мираторг, РФ, шт
Картофельные дольки с кожурой, 2,5кг, Feast, Турция, шт
Картофельные дольки с кожурой, 2,5кг/4шт, Yakimal, РФ, шт
Картофельные крокеты (смайлы), 1кг/10шт, Yakimal, Турция, шт
Картофельные крокеты (шарики), 1кг/10шт, Yakimal, Турция, шт
Шарики картофельные с грибами, 0,35кг/10шт, МИРАТОРГ, РФ, шт
Кордон блю с ветчиной и сыром (Куриные) 1,485кг/6шт, Мираторг, РФ, шт
"Крылышки куриные ""Золотые"" 1кг/12шт, РФ, шт"
Крылышки куриные острые, 2,5кг/4шт, зам МТЗ, РФ, шт
Кусочки куриные ЗОЛОТЫЕ, 1,105кг/15шт, МИРАТОРГ, РФ, шт
Наггетсы в темпуре 1,105кг/15шт, МИРАТОРГ, РФ, шт
Наггетсы куриные Классические, 1,5 кг/6шт, МИРАТОРГ, РФ, шт
Наггетсы куриные с сыром, 1,5кг/6шт, МИРАТОРГ, РФ, шт
Наггетсы куриные Хрустящие 2 кг/6шт, Servolux, РБ, шт
Наггетсы куриные хрустящие, 1,5кг/6шт, МИРАТОРГ, РФ, шт
Наггетсы куриные Экстра, 1,5 кг/6шт, МИРАТОРГ, РФ, шт
"Стрипсы куриные ""Оригинальные"", 1,115 кг/16шт, Компас Фудс, РФ, шт"
"Стрипсы куриные ""Особые"", 1 кг/12шт, РФ, шт"
Стрипсы куриные в мучной панировке, 1кг/12шт, МИРАТОРГ, РФ, шт
Стрипсы куриные Оригинальные 2кг/6шт, Servolux, РБ, шт
Чикен Болс с сыром Моцарелла, 2,5кг/5шт, Мираторг, РФ, шт
Чикен ПопКорн, 2,5кг/6шт, Мираторг, РФ, шт
Мини пицца Карбонара, 0,25кг/12шт, МИРАТОРГ, РФ, шт
Мини пицца с сыром, 0,25кг/12шт, МИРАТОРГ, РФ, шт
"Сырная котлета Моцарелла ""Оригинальная"", 1 кг, РФ, шт"
Сырники классические зам 3,5кг (70г*50шт.), Мираторг, РФ, кор
Сырники с вишнёвой начинкой зам. 3,5кг (70г*50шт.), Мираторг, РФ, кор
Сырники с клубничной начинкой зам. 3,5кг (70г*50шт.), Мираторг, РФ, кор
